Modell,MAPE,MAD
Lineare Regression,7.37,3335015.74
Lineare Regression mit Saisoneffekten,2.35,1052586.96
Lineare Regression mit Saisoneffekten & Kausalvariablen,1.59,707366.25
Simple Exponential Smoothing (SES),6.27,2847529.44
Double Exponential Smoothing (Holt),4.06,1834583.43
Triple Exponential Smoothing - Additiv (Holt-Winters),1.17,522783.07
Triple Exponential Smoothing - Multiplikativ (Holt-Winters),1.22,538707.75
"ARIMA(1,1,0)",3.77,1688952.32
"ARIMA(1,1,1)",3.68,1641463.11
"ARIMA(2,1,0)",3.55,1577479.09
"SARIMA(1,1,1)(1,1,1)[6]",1.16,514992.93
"SARIMA(1,1,0)(1,1,1)[6]",1.19,530739.35
"SARIMA(2,1,0)(1,1,1)[6]",1.06,470614.8
